| schemaname | tablename                | RLS Enabled |
| ---------- | ------------------------ | ----------- |
| public     | admin_users              | true        |
| public     | ai_recommendations       | true        |
| public     | ai_usage_stats           | true        |
| public     | analytics_sessions       | true        |
| public     | app_settings             | true        |
| public     | chat_conversations       | true        |
| public     | chat_messages            | true        |
| public     | content_approvals        | true        |
| public     | daily_stats              | true        |
| public     | dashboard_hero           | true        |
| public     | discount_coupons         | true        |
| public     | email_templates          | false       |
| public     | flashcards               | true        |
| public     | flashcards_backup        | false       |
| public     | learning_completions     | true        |
| public     | learning_paths           | true        |
| public     | lesson_quiz_results      | true        |
| public     | lesson_quizzes           | true        |
| public     | lessons                  | true        |
| public     | lessons_backup           | false       |
| public     | mock_exam_config         | true        |
| public     | mock_exams               | true        |
| public     | mock_results             | true        |
| public     | mock_sessions            | true        |
| public     | modules                  | true        |
| public     | notification_preferences | true        |
| public     | notification_queue       | false       |
| public     | notification_targets     | false       |
| public     | notifications            | true        |
| public     | practice_results         | true        |
| public     | practice_sessions        | true        |
| public     | push_tokens              | false       |
| public     | question_media           | true        |
| public     | question_options         | true        |
| public     | questions                | true        |
| public     | questions_backup         | false       |
| public     | subscription_plans       | false       |
| public     | subscriptions            | true        |
| public     | subtopics                | true        |
| public     | topics                   | true        |
| public     | user_analytics           | true        |
| public     | user_notification_reads  | true        |
| public     | user_profiles            | true        |
| public     | user_sessions            | true        |
| public     | users                    | true        |
